_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
19,Deerwood Creek Community - 3rd Fl,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-11-12,,Y
20,Humber Meadows - 6 North,2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-11-12,,Y
21,Sinai Health System - Hennick Bridgepoint Hospital - 8S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-12,,Y
22,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,Respiratory syncytial virus,None,2024-11-11,,Y
23,Maynard Nursing Home - 1st Fl,28 Halton St,LTCH,Respiratory,COVID-19,None,2024-11-11,,Y
24,Kennedy Lodge - Main Fl North (1st Fl),1400 Kennedy Rd,LTCH,Respiratory,Pending,None,2024-11-08,,Y
25,The Briton House (North Building) - 7th Fl,720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,None,2024-11-08,2024-11-17,N
26,UHN - Princess Margaret Hospital - 14B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza PIV III,None,2024-11-08,2024-11-15,N
27,Mon Sheong Scarborough - PH South,2030 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2024-11-07,,Y
28,Mon Sheong Scarborough LTC - PH South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-11-07,,Y
29,Sunnybrook Health Sciences Centre - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Citrobacter freundii (KPC),"CPE Escherichia coli (NDM), CPE Escherichia coli (OXA-48), VRE",2024-11-07,,Y
30,The Wexford Residence - 4th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-11-07,2024-11-18,N
31,UHN - Toronto Rehabilitation Institute - 7 South,550 University Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-06,2024-11-14,N
32,Fudger House - 1E,439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-11-05,,Y
33,Deerwood Creek Community - Sunnyside Unit,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-11-04,,Y
34,Delmanor West Village,15 Summerland Terr,Retirement Home,Respiratory,Coronavirus*,None,2024-11-04,2024-11-18,N
35,Leaside Retirement Home,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,None,2024-11-04,,Y
36,Terraces Of Baycrest Retirement Residence - 2nd Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2024-11-04,2024-11-10,N
37,The Kensington Gardens South - 4 West & 3 West,25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2024-11-04,,Y
38,Yee Hong Centre - Scarborough Finch - 5th Fl,60 Scottfield Dr,LTCH,Respiratory,COVID-19,None,2024-11-04,2024-11-14,N
39,Isabel and Arthur Meighen Manor - 2nd Fl,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2024-11-02,2024-11-14,N
40,UHN - Toronto Western Hospital - 8B Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-11-02,2024-11-13,N
41,Bendale Acres - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-11-01,2024-11-19,N
42,Unity Health Toronto - Providence Healthcare - B4,3275 St Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-11-01,2024-11-15,N
43,Villa Colombo Homes for the Aged - 2 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,None,2024-10-30,2024-11-12,N
44,Villa Colombo Homes for the Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,None,2024-10-30,2024-11-13,N
45,Mackenzie Health - RCC - Finch Site - 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-29,2024-11-06,N
46,"Rekai Centre - Wellesley Central Place - 3 East, 4 East & 2 West",160 Wellesley St E,LTCH,Respiratory,Coronavirus*,None,2024-10-29,2024-11-18,N
47,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-10-29,2024-11-13,N
48,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Claire Ave E,LTCH,Respiratory,COVID-19,None,2024-10-29,2024-11-13,N
49,Weston Terrace Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,None,2024-10-29,2024-11-12,N
50,Fairview Nursing Home - 1st & 2nd Fl,14 Cross St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-28,2024-11-14,N
51,Glen Rouge Community,92 Island Rd,LTCH,Enteric,Unable to identify,None,2024-10-28,2024-11-10,N
52,Hawthorne Place - 2nd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-28,2024-11-08,N
53,Holland Bloorview Kids Rehabilitation Hospital - 3 West SODR (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-28,2024-11-02,N
54,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,COVID-19,None,2024-10-28,2024-11-04,N
55,Sts. Peter And Paul Residence - 1st & 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-28,2024-11-02,N
56,Chartwell Scarlett Heights Retirement Residence - 2nd Fl Memory Living Unit,4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-25,2024-11-05,N
57,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Parainfluenza,None,2024-10-25,2024-11-01,N
58,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Unable to identify,None,2024-10-25,2024-11-09,N
59,Baycrest Hospital - H4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-24,2024-11-05,N
60,Cedarbrook Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,None,2024-10-24,2024-11-08,N
61,Reactivation Care Centre - Church Site - Trillium Health Partners - 6B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-24,2024-11-07,N
62,Rekai Centres - Wellesley Central Place - 4E & 4W,160 Wellesley St E,LTCH,Respiratory,COVID-19,None,2024-10-24,2024-11-12,N
63,The Claremont - 7th Fl,305 Billiol St,Retirement Home,Respiratory,Parainfluenza,None,2024-10-24,2024-11-02,N
64,The Village of Humber Heights - 2nd Fl (Emma),2245 Lawrence Ave W,Retirement Home,Respiratory,Rhinovirus,None,2024-10-24,2024-11-05,N
65,Cedarbrook Lodge Retirement Residence,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-22,2024-11-08,N
66,Glen Rouge Community - Unit 4,92 Island Rd,LTCH,Respiratory,Rhinovirus,None,2024-10-21,2024-10-26,N
67,St George Care Community - 2nd Fl,225 St George St,LTCH,Respiratory,Rhinovirus,None,2024-10-21,2024-10-26,N
68,Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,COVID-19,None,2024-10-21,2024-11-04,N
69,UHN - Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-21,2024-11-05,N
70,The Russell Hill Retirement Residence - 2nd & 4th Fl,262 St Clair Ave W,Retirement Home,Respiratory,Influenza A ((H1N1)pdm09),None,2024-10-20,2024-11-02,N
71,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-19,2024-11-07,N
72,Mon Sheong Scarborough - 3rd Fl North,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-10-18,2024-11-12,N
73,North York General Hospital - Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,COVID-19,None,2024-10-18,2024-10-25,N
74,Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,None,2024-10-18,2024-10-28,N
75,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,None,2024-10-17,2024-10-28,N
76,UHN - Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-17,2024-10-26,N
77,Castleview Wychwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,Unable to identify,None,2024-10-16,2024-10-29,N
78,Hawthorne Place Care Centre - Maple Lane - Convalescent Unit,2045 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-10-16,2024-10-28,N
79,McCowan Retirement Residence - 4th Fl,2881 Eglinton Ave,Retirement Home,Respiratory,COVID-19,None,2024-10-16,2024-11-05,N
80,Toronto Rehabilitation Institute - Bickle Centre - South 4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-16,2024-11-07,N
81,UHN - Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-16,2024-10-25,N
82,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-16,2024-10-29,N
83,Pine Villa Transitional Care - 3rd & 4th Fl Loft,1035 Eglinton Ave W,Hospital-Chronic Care,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-15,2024-10-22,N
84,Rayoak Place,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-15,2024-10-28,N
85,Trillium Health Partners - McCall Centre For Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-15,2024-10-17,N
86,Villa Colombo Homes for the Aged - 4 Fusco South,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,None,2024-10-15,2024-10-25,N
87,Tony Stacey Centre For Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,None,2024-10-14,2024-10-29,N
88,UHN - Toronto Western Hospital - 9A Medicine,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-14,2024-11-08,N
89,Downsview Long Term Care Centre - 1 North,3595 Keele St,LTCH,Respiratory,COVID-19,None,2024-10-13,2024-11-18,N
90,Aspira Kensington Place Retirement Living - 4th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-11,2024-11-01,N
91,Seven Oaks - 2nd Fl,9 Neilson Road,LTCH,Respiratory,COVID-19,None,2024-10-11,2024-10-28,N
92,Westpark Long Term Care Centre - 2nd Fl - Hughes/Prittie,150 Emmett Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-10-11,2024-10-29,N
93,Isabel and Arthur Meighen Manor - 3 East,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2024-10-10,2024-10-17,N
94,"Lakeside Long Term Care - 1st, 2nd & 4th Fl",150 Dunn Ave,LTCH,Respiratory,COVID-19,None,2024-10-10,2024-10-28,N
95,The Kensington Gardens (North Building) - 1E & 2E,45 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-10,2024-10-24,N
96,UHT - Providence Healthcare - A5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-10,2024-10-30,N
97,Castleview Wynchwood Towers - 3rd Fl,351 Christie St,LTCH,Respiratory,COVID-19,None,2024-10-09,2024-11-05,N
98,"Queens Estate Retirement Residence - 2nd, 4th & 5th Fl",265 Queens Dr,Retirement Home,Respiratory,COVID-19,None,2024-10-09,2024-10-18,N
99,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-09,2024-10-24,N
100,SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-09,2024-10-18,N
101,Unity Health Toronto - St. Michael's Hospital - 7CCV North,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-10-09,2024-10-16,N
102,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,Rhinovirus,None,2024-10-08,2024-10-16,N
103,UHN - RCC - Trillium Health Partners - 3W IP Rehab,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-08,2024-10-16,N
104,Centre For Addiction And Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,None,2024-10-07,2024-10-16,N
105,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus*,None,2024-10-07,2024-10-12,N
106,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Coronavirus*,None,2024-10-07,,Y
107,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2024-10-07,2024-10-24,N
108,Villa Colombo Homes For The Aged - 3 Fusco North,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,None,2024-10-07,2024-10-12,N
109,RCC Church Site - Sunnybrook Health Sciences Centre - A3N,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-10-06,2024-10-11,N
110,The Kensington Gardens (South Building) - 2W,25 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-06,2024-10-15,N
111,Valleyview Residence - 2W,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-06,2024-10-21,N
112,"Donway Place - 1st, 2nd & 4th Fl",8 The Donway E,Retirement Home,Respiratory,COVID-19,None,2024-10-04,2024-10-18,N
113,Leaside Retirement Residence - Building 10 - 3rd Fl,10 William Morgan Dr,Retirement Home,Respiratory,COVID-19,None,2024-10-04,2024-10-11,N
114,St. Clair O'Connor Community - 3rd Fl,2701 St. Clair Ave E,LTCH,Respiratory,Rhinovirus,None,2024-10-04,2024-10-15,N
115,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Enterovirus,None,2024-10-04,2024-10-12,N
116,Trillium Health Partner - McCall Centre For Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Rhinovirus,None,2024-10-04,2024-10-10,N
117,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-10-03,2024-10-19,N
118,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-10-02,2024-10-10,N
119,Fieldstone Commons Care Community - 1st Fl,1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,None,2024-10-02,2024-10-18,N
120,Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,None,2024-10-02,2024-10-15,N
121,The Annex - 1st & 3rd Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,None,2024-10-02,2024-10-08,N
122,Forestview Retirement Residence - 2nd Fl,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,None,2024-10-01,2024-10-16,N
123,Humber Meadows - 3 North,2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-10-01,2024-10-11,N
124,Main Street Terrace - 3rd Fl,77 Main St,LTCH,Respiratory,Enterovirus,None,2024-10-01,2024-10-15,N
125,Midland Gardens Care Community - 2nd Fl,130 Midland Ave,LTCH,Respiratory,Rhinovirus,Enterovirus,2024-09-30,2024-10-15,N
126,The Teddington Retirement Residence - 2nd & 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Rhinovirus,None,2024-09-30,2024-10-09,N
127,Unity Health Toronto - Providence Healthcare Centre - B5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-30,2024-10-07,N
128,Bendale Acres - 2 BSU,2920 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-09-27,2024-10-09,N
129,Chartwell Scarlett Heights - 6th Fl,4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-09-27,2024-10-04,N
130,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,Parainfluenza,2024-09-27,2024-10-04,N
131,WOHS - Etobicoke General Hosptial - 6W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-27,2024-10-04,N
132,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-09-25,2024-10-02,N
133,Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,COVID-19,None,2024-09-25,2024-10-08,N
134,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,None,2024-09-25,2024-10-09,N
135,Extendicare Guildwood - West Spur 2 & East Spur 3,60 Guildwood Parkway,LTCH,Respiratory,Unable to identify,None,2024-09-24,2024-10-07,N
136,Nisbet Lodge - 11th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,None,2024-09-24,2024-10-01,N
137,Norfinch Care Community - 2A,22 Norfinch Dr,LTCH,Respiratory,Rhinovirus,None,2024-09-24,2024-10-07,N
138,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,None,2024-09-23,2024-10-11,N
139,Harold & Grace Baker Centre - A Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-09-23,2024-10-16,N
140,Humber Meadows - 6 South,2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2024-09-23,2024-10-04,N
141,Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Enterovirus,None,2024-09-23,2024-10-03,N
142,TEHN - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-23,2024-09-27,N
143,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,None,2024-09-23,2024-10-02,N
144,Kensington Gardens (North Building) - 3 West,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,None,2024-09-22,2024-09-30,N
145,Mon Sheong Scarborough - 3 South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-09-22,2024-10-05,N
146,Weston Terrace - 2A,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2024-09-22,2024-09-27,N
147,Sinai Health System - Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-09-27,N
148,Unity Health Toronto - St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-09-30,N
149,Unity Health Toronto - St. Joseph's Health Centre - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-20,2024-10-01,N
150,Villa Colombo Homes For The Aged - 2 Fusco West & 3 Fusco,40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2024-09-20,2024-10-08,N
151,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,None,2024-09-19,2024-10-09,N
152,SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-18,2024-09-25,N
153,Unity Health Toronto - Providence Healthcare - A3,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-18,2024-09-25,N
154,Shepherd Lodge - 4 South & 4 North,3760 Sheppard Ave E,LTCH,Respiratory,COVID-19,None,2024-09-17,2024-09-30,N
155,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,COVID-19,None,2024-09-17,2024-10-02,N
156,UHN - Trillium Health Partners - RCC - 3W,82 Buttowood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-17,2024-09-26,N
157,McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,2024-10-10,N
158,Southlake Regional Health Centre - RCC Finch Site - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-16,2024-09-24,N
159,Village of Humber Heights - Williamsburg East Neighbourhood,2245 Lawrence Ave W,Retirement Home,Respiratory,COVID-19,None,2024-09-16,2024-09-23,N
160,Weston Terrace Care Community - 1A,2005 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,None,2024-09-16,2024-09-25,N
161,William Osler Health System - Etobicoke General - 7E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-16,2024-09-27,N
162,Harmony Hills Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2024-09-15,2024-10-01,N
163,Holland Bloorview Kids Rehabilitation Hospital - 3W SODR Unit (North),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-15,2024-09-21,N
164,North York General Hospital - General Site - 3W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-14,2024-09-21,N
165,Better Living at Thompson House - 4th Fl,1 Overlea Dr,LTCH,Respiratory,COVID-19,None,2024-09-13,2024-10-01,N
166,Isabel and Arthur Meighen Manor - 2W Coombs & 2E Davis,155 Millwood Rd,LTCH,Respiratory,Rhinovirus,None,2024-09-13,2024-10-03,N
167,"Shepherd Terrace Retirement Residence - 2nd, 3rd & 4th Fl",3758 Sheppard Ave E,Retirement Home,Respiratory,COVID-19,None,2024-09-13,2024-10-02,N
168,Sinai Health System - Hennick Bridgepoint Hospital - 2N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-13,2024-09-26,N
169,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-20,N
170,Rekai Centre Sherbourne Place - 3rd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-27,N
171,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2024-09-12,2024-10-07,N
172,Valleyview Residence - 3E & 4W,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-09-12,2024-09-30,N
173,Castleview Wychwood Towers - 2 West,351 Christie St,LTCH,Respiratory,Parainfluenza,None,2024-09-11,2024-09-25,N
174,Cedarbrook Transitional Care Unit - 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2024-09-11,2024-09-17,N
175,Deerwood Creek Community - 2B,70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2024-09-11,2024-10-03,N
176,Harold & Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Parainfluenza,None,2024-09-11,2024-10-02,N
177,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2024-09-11,2024-10-08,N
178,Sunnybrook Health Sciences Centre - St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-10,2024-09-20,N
179,Sunnybrook Health Sciences Centre - Veterans Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-17,N
180,Tyndall - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-19,N
181,Wesburn Manor - 4N & 4S,400 The West Mall,LTCH,Respiratory,COVID-19,None,2024-09-10,2024-09-23,N
182,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,2024-09-22,N
183,Chartwell Grenadier Retirement Residence - C Wing & A Wing 2nd Fl,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,None,2024-09-09,2024-09-30,N
184,Reactivation Care Centre - Finch Site - Southlake Hospital - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-09,2024-09-16,N
185,"Shepherd Lodge - 2 North, 3 North & 3 South",3760 Sheppard Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-09-09,2024-09-26,N
186,The O'Neill Centre - Willowvale 3rd Fl & High Park 5th Fl,33 Christie St,LTCH,Respiratory,COVID-19,None,2024-09-09,2024-09-26,N
187,Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Rhinovirus,None,2024-09-08,2024-09-24,N
188,Hellenic Home - 2A,2241 Lawrence Ave E,LTCH,Respiratory,Unable to identify,None,2024-09-08,2024-09-19,N
189,Amica Bayview Gardens - 6th & 8th Fl,19 Rean Dr,Retirement Home,Respiratory,COVID-19,None,2024-09-06,2024-09-23,N
190,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-09-06,2024-09-18,N
191,Chester Village - 2W Topaz,3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2024-09-06,2024-09-24,N
192,"Elm Grove Living Centre - 1st, 2nd & 3rd Fl",35 Elm Grove Ave,LTCH,Respiratory,COVID-19,None,2024-09-06,2024-10-01,N
193,Parkland on Eglinton West - 3rd Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-09-06,2024-09-20,N
194,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Unable to identify,None,2024-09-05,2024-09-25,N
