outbreak_setting,causative_agent,month,duration
Retirement Home,Influenza,May,14
LTCH,Coronavirus,Apr,18
LTCH,Respiratory syncytial virus,Apr,10
Retirement Home,Influenza,Apr,8
LTCH,Coronavirus,Apr,10
Retirement Home,Norovirus,Apr,14
LTCH,Influenza,Apr,15
Hospital-Acute Care,Influenza,Apr,11
Retirement Home,Coronavirus,Apr,16
LTCH,Influenza,Apr,7
LTCH,Coronavirus,Apr,9
LTCH,Parainfluenza,Apr,34
Hospital-Chronic Care,Influenza,Apr,6
LTCH,Enterovirus/Rhinovirus,Apr,17
Hospital-Chronic Care,Metapneumovirus,Apr,6
LTCH,Influenza,Apr,8
LTCH,Norovirus,Apr,16
Hospital-Chronic Care,Coronavirus,Apr,18
Hospital-Chronic Care,Influenza,Apr,14
Hospital-Acute Care,Influenza,Mar,7
LTCH,Norovirus,Mar,8
LTCH,Metapneumovirus,Mar,10
Hospital-Acute Care,Influenza,Mar,6
Hospital-Acute Care,Influenza,Mar,7
LTCH,Parainfluenza,Mar,18
LTCH,Metapneumovirus,Mar,13
LTCH,Influenza,Mar,18
LTCH,Influenza,Mar,10
LTCH,Norovirus,Mar,15
LTCH,Respiratory syncytial virus,Mar,14
LTCH,Metapneumovirus,Mar,18
LTCH,Influenza,Mar,22
LTCH,Influenza,Mar,11
LTCH,Influenza,Mar,10
Retirement Home,Influenza,Mar,10
LTCH,Respiratory syncytial virus,Mar,19
Hospital-Chronic Care,Influenza,Mar,8
LTCH,Influenza,Mar,10
LTCH,Influenza,Mar,7
Retirement Home,Influenza,Mar,8
Hospital-Chronic Care,Influenza,Mar,6
LTCH,Influenza,Mar,12
LTCH,Influenza,Mar,14
Hospital-Chronic Care,Coronavirus,Mar,13
LTCH,Metapneumovirus,Mar,14
Hospital-Acute Care,Influenza,Mar,7
LTCH,Respiratory syncytial virus,Mar,29
LTCH,Influenza,Mar,20
Hospital-Chronic Care,Influenza,Feb,8
Retirement Home,Coronavirus,Feb,31
Hospital-Acute Care,Influenza,Feb,3
Hospital-Acute Care,Influenza,Feb,11
LTCH,Influenza,Feb,12
LTCH,Influenza,Feb,11
LTCH,Influenza,Feb,20
Hospital-Acute Care,Influenza,Feb,13
Retirement Home,Respiratory syncytial virus,Feb,9
LTCH,Enterovirus/Rhinovirus,Feb,11
LTCH,Influenza,Feb,4
LTCH,Influenza,Feb,23
LTCH,Respiratory syncytial virus,Feb,16
Hospital-Chronic Care,Influenza,Feb,8
LTCH,Influenza,Feb,14
Retirement Home,Respiratory syncytial virus,Feb,15
LTCH,Influenza,Feb,12
Hospital-Acute Care,Influenza,Feb,5
Hospital-Chronic Care,Influenza,Feb,14
Hospital-Acute Care,Influenza,Feb,8
LTCH,Respiratory syncytial virus,Feb,10
Hospital-Chronic Care,Influenza,Feb,14
LTCH,Norovirus,Feb,14
LTCH,Respiratory syncytial virus,Feb,12
Retirement Home,Parainfluenza,Feb,18
Hospital-Chronic Care,Respiratory syncytial virus,Feb,21
Hospital-Chronic Care,Influenza,Feb,16
LTCH,Norovirus,Feb,17
LTCH,Influenza,Feb,6
Hospital-Acute Care,Influenza,Feb,13
Hospital-Acute Care,Influenza,Feb,17
LTCH,Influenza,Feb,14
Hospital-Chronic Care,Influenza,Jan,14
Hospital-Chronic Care,Influenza,Jan,8
Hospital-Chronic Care,Respiratory syncytial virus,Jan,11
Hospital-Acute Care,Influenza,Jan,16
LTCH,Metapneumovirus,Jan,11
Hospital-Chronic Care,Respiratory syncytial virus,Jan,13
LTCH,Influenza,Jan,9
LTCH,Respiratory syncytial virus,Jan,17
Retirement Home,Respiratory syncytial virus,Jan,11
LTCH,Enterovirus/Rhinovirus,Jan,14
LTCH,Norovirus,Jan,10
LTCH,Norovirus,Jan,27
Hospital-Chronic Care,Respiratory syncytial virus,Jan,30
LTCH,Influenza,Jan,15
LTCH,Coronavirus,Jan,8
LTCH,Influenza,Jan,11
LTCH,Norovirus,Jan,15
LTCH,Norovirus,Jan,9
LTCH,Respiratory syncytial virus,Jan,21
LTCH,Enterovirus/Rhinovirus,Jan,7
LTCH,Coronavirus,Jan,15
LTCH,Enterovirus/Rhinovirus,Jan,32
LTCH,Coronavirus,Jan,13
LTCH,Coronavirus,Jan,11
LTCH,Coronavirus,Jan,9
LTCH,Norovirus,Jan,21
LTCH,Norovirus,Jan,14
LTCH,Metapneumovirus,Jan,18
Retirement Home,Influenza,Dec,17
Hospital-Acute Care,Influenza,Dec,8
Hospital-Chronic Care,Influenza,Dec,9
Hospital-Acute Care,Influenza,Dec,7
Hospital-Psychiatric,Influenza,Dec,15
Retirement Home,Influenza,Dec,15
LTCH,Influenza,Dec,9
LTCH,Influenza,Dec,8
Hospital-Acute Care,Influenza,Dec,8
LTCH,Respiratory syncytial virus,Dec,23
Hospital-Chronic Care,Influenza,Dec,14
LTCH,Norovirus,Dec,14
Retirement Home,Influenza,Dec,14
LTCH,Norovirus,Dec,41
LTCH,Influenza,Dec,9
Retirement Home,Norovirus,Dec,22
LTCH,Influenza,Dec,13
LTCH,Respiratory syncytial virus,Dec,18
Hospital-Acute Care,Influenza,Dec,14
LTCH,Influenza,Dec,9
Hospital-Acute Care,Influenza,Dec,9
LTCH,Norovirus,Dec,29
LTCH,Enterovirus/Rhinovirus,Dec,15
LTCH,Enterovirus/Rhinovirus,Dec,25
LTCH,Influenza,Dec,22
Hospital-Acute Care,Norovirus,Dec,7
LTCH,Norovirus,Dec,12
Hospital-Acute Care,Coronavirus,Dec,13
LTCH,Parainfluenza,Dec,7
Hospital-Chronic Care,Respiratory syncytial virus,Dec,7
Retirement Home,Influenza,Dec,8
LTCH,Respiratory syncytial virus,Dec,9
LTCH,Parainfluenza,Dec,9
LTCH,Enterovirus/Rhinovirus,Dec,16
LTCH,Enterovirus/Rhinovirus,Dec,14
Retirement Home,Norovirus,Dec,14
Hospital-Acute Care,Influenza,Dec,8
Retirement Home,Norovirus,Nov,8
LTCH,Enterovirus/Rhinovirus,Nov,11
LTCH,Influenza,Nov,16
LTCH,Norovirus,Nov,11
LTCH,Enterovirus/Rhinovirus,Nov,8
LTCH,Influenza,Nov,15
Retirement Home,Influenza,Nov,15
LTCH,Enterovirus/Rhinovirus,Nov,9
LTCH,Respiratory syncytial virus,Nov,16
Hospital-Acute Care,Enterovirus/Rhinovirus,Nov,8
LTCH,Influenza,Nov,31
LTCH,Norovirus,Nov,12
LTCH,Parainfluenza,Nov,9
LTCH,Norovirus,Oct,8
LTCH,Enterovirus/Rhinovirus,Oct,13
LTCH,Parainfluenza,Sep,9
LTCH,Enterovirus/Rhinovirus,Sep,11
LTCH,Enterovirus/Rhinovirus,Sep,13
LTCH,Enterovirus/Rhinovirus,Sep,12
LTCH,Norovirus,Sep,7
LTCH,Enterovirus/Rhinovirus,Sep,8
LTCH,Enterovirus/Rhinovirus,Sep,14
LTCH,Enterovirus/Rhinovirus,Sep,28
LTCH,Enterovirus/Rhinovirus,Sep,8
Retirement Home,Enterovirus/Rhinovirus,Sep,12
LTCH,Norovirus,Sep,12
Hospital-Acute Care,Enterovirus/Rhinovirus,Aug,8
LTCH,Enterovirus/Rhinovirus,Aug,19
LTCH,Enterovirus/Rhinovirus,Aug,17
LTCH,Enterovirus/Rhinovirus,Aug,15
LTCH,Parainfluenza,Aug,14
LTCH,Enterovirus/Rhinovirus,Aug,21
LTCH,Enterovirus/Rhinovirus,Aug,14
Hospital-Acute Care,Enterovirus/Rhinovirus,Aug,8
LTCH,Enterovirus/Rhinovirus,Aug,22
LTCH,Enterovirus/Rhinovirus,Aug,31
LTCH,Enterovirus/Rhinovirus,Aug,13
Retirement Home,Enterovirus/Rhinovirus,Aug,7
LTCH,Enterovirus/Rhinovirus,Aug,28
LTCH,Enterovirus/Rhinovirus,Aug,9
LTCH,Enterovirus/Rhinovirus,Aug,17
LTCH,Enterovirus/Rhinovirus,Aug,11
LTCH,Influenza,Aug,21
LTCH,Enterovirus/Rhinovirus,Aug,17
LTCH,Parainfluenza,Aug,17
LTCH,Enterovirus/Rhinovirus,Aug,9
LTCH,Enterovirus/Rhinovirus,Jul,9
Retirement Home,Enterovirus/Rhinovirus,Jul,13
LTCH,Enterovirus/Rhinovirus,Jul,24
Retirement Home,Enterovirus/Rhinovirus,Jul,14
LTCH,Enterovirus/Rhinovirus,Jul,7
LTCH,Enterovirus/Rhinovirus,Jun,28
LTCH,Enterovirus/Rhinovirus,Jun,9
Retirement Home,Norovirus,Jun,7
LTCH,Enterovirus/Rhinovirus,Jun,14
LTCH,Parainfluenza,Jun,13
LTCH,Enterovirus/Rhinovirus,Jun,18
LTCH,Parainfluenza,Jun,10
Hospital-Acute Care,Enterovirus/Rhinovirus,Jun,8
LTCH,Parainfluenza,Jun,33
LTCH,Enterovirus/Rhinovirus,Jun,11
LTCH,Enterovirus/Rhinovirus,May,15
LTCH,Enterovirus/Rhinovirus,May,10
LTCH,Parainfluenza,May,19
LTCH,Enterovirus/Rhinovirus,May,16
LTCH,Influenza,May,9
Hospital-Acute Care,Enterovirus/Rhinovirus,May,9
LTCH,Influenza,May,9
LTCH,Metapneumovirus,May,6
LTCH,Parainfluenza,May,16
LTCH,Enterovirus/Rhinovirus,May,13
LTCH,Coronavirus,May,16
Retirement Home,Influenza,May,8
LTCH,Influenza,May,8
LTCH,Enterovirus/Rhinovirus,May,23
LTCH,Influenza,May,17
LTCH,Parainfluenza,May,7
LTCH,Coronavirus,May,25
Retirement Home,Influenza,May,35
LTCH,Enterovirus/Rhinovirus,Apr,9
LTCH,Influenza,Apr,9
LTCH,Parainfluenza,Apr,12
Retirement Home,Influenza,Apr,8
Retirement Home,Parainfluenza,Apr,8
Retirement Home,Metapneumovirus,Apr,13
LTCH,Influenza,Apr,11
LTCH,Influenza,Apr,8
Hospital-Chronic Care,Influenza,Apr,7
Hospital-Acute Care,Respiratory syncytial virus,Apr,17
LTCH,Metapneumovirus,Apr,9
Retirement Home,Influenza,Apr,15
LTCH,Respiratory syncytial virus,Apr,15
Hospital-Chronic Care,Enterovirus/Rhinovirus,Apr,3
Retirement Home,Parainfluenza,Apr,15
LTCH,Influenza,Apr,16
LTCH,Enterovirus/Rhinovirus,Apr,10
LTCH,Coronavirus,Apr,14
Retirement Home,Metapneumovirus,Mar,11
LTCH,Metapneumovirus,Mar,18
Hospital-Acute Care,Metapneumovirus,Mar,12
LTCH,Influenza,Mar,21
LTCH,Influenza,Mar,14
LTCH,Influenza,Mar,11
LTCH,Coronavirus,Mar,35
LTCH,Influenza,Mar,12
LTCH,Coronavirus,Mar,18
LTCH,Influenza,Mar,9
LTCH,Influenza,Mar,14
LTCH,Parainfluenza,Mar,19
LTCH,Coronavirus,Mar,15
LTCH,Respiratory syncytial virus,Mar,20
LTCH,Influenza,Mar,10
Hospital-Acute Care,Influenza,Mar,9
Retirement Home,Respiratory syncytial virus,Mar,7
LTCH,Influenza,Mar,21
LTCH,Norovirus,Mar,17
Hospital-Chronic Care,Respiratory syncytial virus,Mar,17
Hospital-Acute Care,Respiratory syncytial virus,Mar,6
LTCH,Influenza,Mar,10
LTCH,Influenza,Mar,9
Hospital-Acute Care,Influenza,Mar,7
Hospital-Chronic Care,Influenza,Mar,16
LTCH,Influenza,Mar,13
Retirement Home,Metapneumovirus,Mar,7
LTCH,Norovirus,Mar,9
LTCH,Norovirus,Mar,10
Retirement Home,Influenza,Mar,16
Hospital-Chronic Care,Respiratory syncytial virus,Feb,10
LTCH,Coronavirus,Feb,13
LTCH,Influenza,Feb,17
LTCH,Influenza,Feb,7
Retirement Home,Norovirus,Feb,13
Retirement Home,Norovirus,Feb,12
Retirement Home,Influenza,Feb,13
LTCH,Norovirus,Feb,20
LTCH,Influenza,Feb,12
Hospital-Chronic Care,Influenza,Feb,10
Retirement Home,Coronavirus,Feb,9
Retirement Home,Coronavirus,Feb,12
LTCH,Respiratory syncytial virus,Feb,9
LTCH,Metapneumovirus,Feb,8
LTCH,Influenza,Feb,17
Hospital-Chronic Care,Influenza,Feb,9
Retirement Home,Norovirus,Feb,11
LTCH,Influenza,Feb,13
LTCH,Coronavirus,Feb,12
LTCH,Coronavirus,Feb,14
Retirement Home,Parainfluenza,Feb,9
LTCH,Influenza,Feb,25
LTCH,Norovirus,Feb,18
LTCH,Respiratory syncytial virus,Feb,13
LTCH,Influenza,Feb,10
Retirement Home,Respiratory syncytial virus,Feb,14
Retirement Home,Influenza,Feb,7
LTCH,Influenza,Feb,10
Retirement Home,Influenza,Feb,9
LTCH,Influenza,Feb,10
LTCH,Respiratory syncytial virus,Feb,25
LTCH,Influenza,Feb,23
LTCH,Influenza,Feb,11
LTCH,Influenza,Feb,12
Retirement Home,Norovirus,Feb,12
Hospital-Acute Care,Influenza,Feb,8
Hospital-Chronic Care,Influenza,Feb,7
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,20
Retirement Home,Influenza,Jan,5
LTCH,Norovirus,Jan,16
LTCH,Norovirus,Jan,18
LTCH,Influenza,Jan,19
LTCH,Influenza,Jan,21
Retirement Home,Coronavirus,Jan,25
LTCH,Influenza,Jan,13
Hospital-Acute Care,Influenza,Jan,9
LTCH,Norovirus,Jan,32
LTCH,Respiratory syncytial virus,Jan,38
Hospital-Acute Care,Influenza,Jan,8
LTCH,Coronavirus,Jan,11
Hospital-Acute Care,Influenza,Jan,10
LTCH,Influenza,Jan,20
LTCH,Influenza,Jan,9
LTCH,Respiratory syncytial virus,Jan,9
Retirement Home,Influenza,Jan,17
LTCH,Influenza,Jan,11
Hospital-Acute Care,Respiratory syncytial virus,Jan,10
Hospital-Acute Care,Influenza,Jan,8
Retirement Home,Norovirus,Jan,42
Hospital-Chronic Care,Respiratory syncytial virus,Jan,4
LTCH,Influenza,Jan,20
LTCH,Respiratory syncytial virus,Jan,7
Retirement Home,Norovirus,Jan,14
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,18
LTCH,Norovirus,Jan,21
LTCH,Influenza,Jan,21
LTCH,Influenza,Jan,14
Hospital-Chronic Care,Influenza,Jan,13
Hospital-Acute Care,Influenza,Jan,8
LTCH,Influenza,Jan,10
LTCH,Influenza,Jan,4
LTCH,Influenza,Jan,22
Hospital-Acute Care,Influenza,Jan,11
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,11
Hospital-Acute Care,Influenza,Jan,12
Retirement Home,Coronavirus,Jan,16
LTCH,Influenza,Jan,17
Hospital-Acute Care,Influenza,Jan,3
LTCH,Influenza,Jan,16
Hospital-Acute Care,Influenza,Jan,8
Retirement Home,Influenza,Jan,12
LTCH,Respiratory syncytial virus,Jan,21
LTCH,Influenza,Jan,11
LTCH,Influenza,Jan,8
LTCH,Norovirus,Jan,17
Hospital-Acute Care,Metapneumovirus,Jan,15
Hospital-Chronic Care,Influenza,Jan,9
LTCH,Influenza,Jan,18
Hospital-Chronic Care,Norovirus,Jan,11
Retirement Home,Influenza,Jan,16
LTCH,Influenza,Jan,18
Retirement Home,Norovirus,Jan,13
LTCH,Respiratory syncytial virus,Jan,24
Retirement Home,Coronavirus,Jan,10
Retirement Home,Influenza,Jan,14
LTCH,Influenza,Jan,11
Retirement Home,Influenza,Jan,12
Retirement Home,Influenza,Jan,11
LTCH,Respiratory syncytial virus,Jan,15
Retirement Home,Influenza,Jan,12
LTCH,Respiratory syncytial virus,Jan,20
Retirement Home,Influenza,Jan,15
LTCH,Norovirus,Jan,31
Hospital-Acute Care,Influenza,Jan,9
LTCH,Influenza,Jan,12
Hospital-Chronic Care,Influenza,Jan,9
Hospital-Chronic Care,Influenza,Jan,9
Hospital-Chronic Care,Respiratory syncytial virus,Jan,8
LTCH,Influenza,Jan,14
LTCH,Coronavirus,Jan,17
Retirement Home,Influenza,Jan,12
Retirement Home,Influenza,Jan,10
Hospital-Acute Care,Influenza,Jan,8
Retirement Home,Influenza,Jan,14
Retirement Home,Influenza,Jan,15
LTCH,Influenza,Jan,13
Hospital-Chronic Care,Influenza,Jan,7
Hospital-Chronic Care,Influenza,Jan,14
LTCH,Influenza,Jan,17
Retirement Home,Coronavirus,Jan,13
LTCH,Respiratory syncytial virus,Jan,26
LTCH,Norovirus,Jan,8
Retirement Home,Influenza,Jan,11
Hospital-Acute Care,Influenza,Jan,5
Retirement Home,Respiratory syncytial virus,Jan,11
LTCH,Norovirus,Jan,18
LTCH,Norovirus,Jan,13
LTCH,Influenza,Jan,8
LTCH,Influenza,Jan,12
Hospital-Chronic Care,Influenza,Jan,12
LTCH,Respiratory syncytial virus,Jan,9
LTCH,Influenza,Jan,24
Hospital-Acute Care,Influenza,Jan,8
Retirement Home,Influenza,Jan,25
LTCH,Influenza,Jan,14
LTCH,Norovirus,Jan,6
Hospital-Acute Care,Influenza,Jan,9
LTCH,Respiratory syncytial virus,Jan,17
LTCH,Influenza,Jan,11
LTCH,Norovirus,Jan,9
Hospital-Acute Care,Influenza,Jan,10
Hospital-Chronic Care,Influenza,Jan,9
LTCH,Influenza,Jan,19
Hospital-Chronic Care,Influenza,Jan,11
LTCH,Influenza,Dec,25
Hospital-Acute Care,Respiratory syncytial virus,Dec,8
LTCH,Norovirus,Dec,19
LTCH,Respiratory syncytial virus,Dec,27
Hospital-Acute Care,Influenza,Dec,6
LTCH,Influenza,Dec,16
LTCH,Norovirus,Dec,9
Hospital-Chronic Care,Influenza,Dec,9
Hospital-Acute Care,Norovirus,Dec,4
LTCH,Respiratory syncytial virus,Dec,26
Hospital-Acute Care,Influenza,Dec,14
Retirement Home,Respiratory syncytial virus,Dec,14
Hospital-Acute Care,Influenza,Dec,8
Hospital-Acute Care,Influenza,Dec,7
Hospital-Acute Care,Norovirus,Dec,20
LTCH,Norovirus,Dec,21
Hospital-Chronic Care,Enterovirus/Rhinovirus,Dec,11
Hospital-Chronic Care,Influenza,Dec,9
Retirement Home,Norovirus,Dec,24
Hospital-Acute Care,Influenza,Dec,8
Retirement Home,Parainfluenza,Nov,15
LTCH,Respiratory syncytial virus,Nov,39
LTCH,Norovirus,Nov,12
LTCH,Metapneumovirus,Nov,18
LTCH,Norovirus,Nov,37
Hospital-Chronic Care,Influenza,Nov,10
LTCH,Influenza,Nov,11
Retirement Home,Influenza,Nov,10
LTCH,Respiratory syncytial virus,Oct,14
Hospital-Chronic Care,Enterovirus/Rhinovirus,Oct,9
LTCH,Influenza,Oct,17
LTCH,Parainfluenza,Oct,20
LTCH,Coronavirus,Sep,12
LTCH,Parainfluenza,Sep,10
Hospital-Chronic Care,Enterovirus/Rhinovirus,Aug,19
Hospital-Acute Care,Enterovirus/Rhinovirus,Aug,11
LTCH,Parainfluenza,Aug,19
LTCH,Enterovirus/Rhinovirus,Jul,9
LTCH,Enterovirus/Rhinovirus,Jun,20
LTCH,Parainfluenza,Jun,12
Hospital-Chronic Care,Enterovirus/Rhinovirus,Jun,10
LTCH,Enterovirus/Rhinovirus,Jun,10
LTCH,Parainfluenza,Jun,10
LTCH,Parainfluenza,May,17
LTCH,Influenza,May,9
LTCH,Influenza,May,15
LTCH,Norovirus,May,13
Hospital-Acute Care,Norovirus,May,7
Hospital-Chronic Care,Respiratory syncytial virus,May,9
Retirement Home,Influenza,May,9
LTCH,Metapneumovirus,May,18
Retirement Home,Influenza,May,12
LTCH,Norovirus,May,14
LTCH,Parainfluenza,Apr,17
LTCH,Influenza,Apr,10
LTCH,Metapneumovirus,Apr,29
LTCH,Metapneumovirus,Apr,13
LTCH,Influenza,Apr,12
Hospital-Acute Care,Norovirus,Apr,6
LTCH,Influenza,Apr,12
LTCH,Metapneumovirus,Apr,9
LTCH,Norovirus,Apr,12
Retirement Home,Norovirus,Apr,18
LTCH,Coronavirus,Apr,9
Hospital-Chronic Care,Influenza,Apr,7
LTCH,Influenza,Apr,15
LTCH,Norovirus,Apr,12
Retirement Home,Influenza,Apr,17
LTCH,Influenza,Apr,11
LTCH,Metapneumovirus,Apr,22
LTCH,Influenza,Apr,12
LTCH,Metapneumovirus,Apr,37
LTCH,Influenza,Apr,11
LTCH,Influenza,Apr,8
LTCH,Influenza,Apr,20
Retirement Home,Influenza,Apr,8
Retirement Home,Influenza,Apr,9
LTCH,Influenza,Apr,11
LTCH,Influenza,Apr,12
Hospital-Chronic Care,Influenza,Apr,10
LTCH,Influenza,Apr,19
Hospital-Chronic Care,Influenza,Apr,8
LTCH,Influenza,Apr,9
Retirement Home,Metapneumovirus,Apr,12
LTCH,Influenza,Apr,12
Hospital-Chronic Care,Influenza,Apr,11
Hospital-Chronic Care,Influenza,Apr,8
Hospital-Chronic Care,Norovirus,Apr,6
Retirement Home,Influenza,Apr,13
LTCH,Norovirus,Apr,15
LTCH,Influenza,Apr,15
LTCH,Influenza,Apr,17
LTCH,Metapneumovirus,Mar,17
Hospital-Acute Care,Influenza,Mar,13
LTCH,Influenza,Mar,17
Retirement Home,Influenza,Mar,6
Hospital-Chronic Care,Metapneumovirus,Mar,8
Retirement Home,Influenza,Mar,11
Hospital-Acute Care,Norovirus,Mar,8
LTCH,Influenza,Mar,16
LTCH,Influenza,Mar,8
Hospital-Acute Care,Influenza,Mar,9
Hospital-Chronic Care,Influenza,Mar,9
Retirement Home,Influenza,Mar,13
Retirement Home,Norovirus,Mar,23
Hospital-Acute Care,Influenza,Mar,12
LTCH,Influenza,Mar,10
LTCH,Influenza,Mar,11
Hospital-Chronic Care,Influenza,Mar,8
LTCH,Influenza,Mar,12
LTCH,Influenza,Mar,11
LTCH,Norovirus,Mar,37
Hospital-Chronic Care,Influenza,Mar,10
LTCH,Influenza,Mar,10
LTCH,Influenza,Mar,9
LTCH,Influenza,Mar,7
Hospital-Acute Care,Respiratory syncytial virus,Mar,4
LTCH,Influenza,Mar,17
LTCH,Influenza,Mar,9
LTCH,Influenza,Mar,7
Retirement Home,Influenza,Mar,4
Hospital-Acute Care,Influenza,Mar,9
LTCH,Influenza,Mar,14
LTCH,Influenza,Mar,10
LTCH,Influenza,Mar,14
LTCH,Influenza,Mar,15
Retirement Home,Influenza,Mar,12
Hospital-Psychiatric,Influenza,Mar,12
LTCH,Influenza,Mar,19
